player_id,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,drop_percentage,dropped_passes,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,first_downs_receiving,first_downs_rushing,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_broken_tackles,receiving_touchdowns,receiving_yards,receiving_yards_after_catch,receiving_yards_after_catch_per_reception,receiving_yards_before_catch,receiving_yards_before_catch_per_reception,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_broken_tackle,receptions_per_game,rush_attempts,rush_attempts_per_broken_tackle,rush_attempts_per_game,rush_broken_tackles,rush_touchdowns,rush_yards,rush_yards_after_contact,rush_yards_after_contact_per_attempt,rush_yards_before_contact,rush_yards_before_contact_per_attempt,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception,year,id
AdamDa01,,,,,,15,,,1992-12-24,,77.2,,,,,,,,,,,,,,,,,,,1.0,,,,,14.0,14.0,6-1,,,,,,,,,,,,,,,,,56,,Davante Adams,,,,,,,,,,WR,,,,,,,,18,1374,,,,,98.1,11.9,115,,8.2,,,,,,,,,,,,,18,,,,,2020,,GNB,,,149,,,,115,,,215,1374,,,,,,,,11.9,,,2020,AdamDa01 2020
AdamMo00,,,,,,1,5,,1995-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,6-4,,,,,,,,,,,,,,,,,,,Montravius Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,6,GNB,,,,,,,,,,304,,,,,,,,,,,,2020,AdamMo00 2020
AlexJa00,,,,,,11,11,,1997-02-09,,,,,,,,,,,,,,,,,,,,,0.0,1,0,0,,15.0,15.0,5-10,,,1,0,,,,,,,,-4,,,,,,,Jaire Alexander,,,,13,,,,,,LCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2020,40,GNB,,,,,,,,,,196,,,,,,,,,,0,-4,2020,AlexJa00 2020
AmosAd00,,,,,,6,18,,1993-04-29,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16.0,16.0,6-0,,,2,0,,,,,,,,24,,,,,,,Adrian Amos,,,,9,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2020,65,GNB,,,,,,,,,,214,,,,,,,,,,0.0,47,2020,AmosAd00 2020
AustTa00,,,,,34,0,,,1990-03-15,,100.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,4.0,0.0,5-8,,,,,,,,,,,,,,,,7,7,,Tavon Austin,,,,,,,,,,,0,14,3,,,,,0,20,,,,,5.0,4.0,5,,1.3,,,,,,,,,,,,,0,,,0.0,,2020,,GNB,,,5,,,,5,,,179,20,,,,,,,4.7,4.0,0.0,,2020,AustTa00 2020
BakhDa00,,,,,,13,,,1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,6-4,,,,,,,,,,,,,,,,,,,David Bakhtiari,,,,,,,,,,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,310,,,,,,,,,,,,2020,BakhDa00 2020
BarnKr00,,,,,,5,31,,1998-04-02,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,13.0,10.0,6-1,,,,,,,,,,,,,,,,,,,Krys Barnes,,,,,,,,,,RILB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2020,49,GNB,,,,,,,,,,235,,,,,,,,,,0,,2020,BarnKr00 2020
BarnKr00,,,,,,5,31,,1998-04-02,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,13.0,10.0,6-1,,,,,,,,,,,,,,,,,,,Krys Barnes,,,,,,,,,,RILB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2020,49,GNB,,,,,,,,,,235,,,,,,,,,,0,,2020,BarnKr00 2020
BlacHe00,,,,,,0,2,,1997-01-03,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,8.0,0.0,5-11,,,,,,,,,,,,,,,,,,,Henry Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,6,GNB,,,,,,,,,,204,,,,,,,,,,0,,2020,BlacHe00 2020
BoylTi00,,-11.0,,,,0,,0,1994-10-03,,,0,,,,0.0,,,,,,,,,,,,,,1,0.0,1.0,0.0,,8.0,0.0,6-4,,,,,0,,,,,,,,,0,,,,0,Tim Boyle,,-11.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,13,,1.6,,0,-9,,,,,-0.7,-1.1,0,,,0.0,,2020,,GNB,,,,1,,,13,,,232,-9,11,,,0.0,,,,-0.7,0.0,,2020,BoylTi00 2020
